epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
29,406.518,0.71544,0.96281,0.61054,0.9349,0,0.95366,0.98333,0.99262,0.87082,0.95366,0.98333,0.99262,0.87764,0.55089,0.7344,0.39063,0.88961,0,0.000557,0.000557,0.000557
30,417.167,0.72106,1.02557,0.58968,0.92988,0,0.95846,0.98522,0.995,0.87714,0.95846,0.98522,0.995,0.85681,0.56957,0.72676,0.42124,0.89834,0,0.00053225,0.00053225,0.00053225
31,427.323,0.71867,0.91543,0.57185,0.92669,0,0.99446,0.99525,0.995,0.86024,0.99446,0.99525,0.995,0.879,0.5662,0.70295,0.35354,0.90167,0,0.0005075,0.0005075,0.0005075
32,437.524,0.70805,0.93136,0.5485,0.94191,0,0.99081,0.9746,0.995,0.87086,0.99081,0.9746,0.995,0.86865,0.54343,0.73529,0.36102,0.89189,0,0.00048275,0.00048275,0.00048275
33,447.677,0.68052,0.88831,0.53989,0.93545,0,0.99727,0.99364,0.995,0.88799,0.99727,0.99364,0.995,0.86441,0.53993,0.73642,0.33735,0.886,0,0.000458,0.000458,0.000458
34,457.908,0.65462,0.91378,0.51085,0.92269,0,0.9926,0.99065,0.995,0.88342,0.9926,0.99065,0.995,0.8861,0.53557,0.67493,0.34335,0.88623,0,0.00043325,0.00043325,0.00043325
35,467.803,0.67508,0.92118,0.535,0.92444,0,0.94433,0.92208,0.95232,0.84711,0.94433,0.92208,0.95232,0.83297,0.50807,0.65022,0.42219,0.87698,0,0.0004085,0.0004085,0.0004085
36,477.787,0.62651,0.8625,0.4947,0.90847,0,0.98389,0.9873,0.995,0.90399,0.98389,0.9873,0.995,0.89694,0.47539,0.66991,0.32264,0.8682,0,0.00038375,0.00038375,0.00038375
37,488.053,0.65496,0.86835,0.49488,0.90011,0,0.97922,0.97018,0.99421,0.88232,0.97922,0.97018,0.99421,0.8949,0.52929,0.65203,0.3507,0.88118,0,0.000359,0.000359,0.000359
38,497.816,0.63836,0.86379,0.49463,0.92509,0,0.98145,0.98643,0.99103,0.89498,0.98145,0.98643,0.99103,0.89388,0.47634,0.63025,0.32177,0.86214,0,0.00033425,0.00033425,0.00033425
39,507.976,0.62295,0.88017,0.49761,0.89287,0,0.98734,0.99998,0.995,0.91186,0.98734,0.99998,0.995,0.89853,0.44024,0.66917,0.29019,0.85107,0,0.0003095,0.0003095,0.0003095
40,518.128,0.60199,0.84017,0.46955,0.89014,0,0.98625,1,0.995,0.909,0.98625,1,0.995,0.8851,0.43422,0.64235,0.28551,0.84834,0,0.00028475,0.00028475,0.00028475
41,593.57,0.53931,0.80856,0.38341,0.86235,0,0.99526,1,0.995,0.92177,0.99526,1,0.995,0.88454,0.41921,0.63606,0.28204,0.84248,0,0.00026,0.00026,0.00026
42,603.511,0.53116,0.78322,0.35517,0.88295,0,0.99423,1,0.995,0.92978,0.99423,1,0.995,0.89055,0.39303,0.63531,0.27082,0.84242,0,0.00023525,0.00023525,0.00023525
43,613.329,0.52379,0.7578,0.33132,0.88465,0,0.99368,1,0.995,0.9209,0.99368,1,0.995,0.89606,0.38007,0.63409,0.25369,0.83764,0,0.0002105,0.0002105,0.0002105
44,622.904,0.51749,0.7593,0.33211,0.88799,0,0.9946,1,0.995,0.92354,0.9946,1,0.995,0.89431,0.41164,0.62001,0.2539,0.84485,0,0.00018575,0.00018575,0.00018575
45,632.736,0.50243,0.74018,0.30964,0.85218,0,0.9966,1,0.995,0.91918,0.9966,1,0.995,0.89977,0.40847,0.63431,0.26747,0.84112,0,0.000161,0.000161,0.000161
46,642.565,0.49976,0.74894,0.31698,0.88187,0,0.99581,1,0.995,0.92055,0.99581,1,0.995,0.89346,0.41254,0.62491,0.26398,0.84313,0,0.00013625,0.00013625,0.00013625
47,652.469,0.48436,0.73514,0.29995,0.86569,0,0.99341,1,0.995,0.93561,0.99341,1,0.995,0.90378,0.39646,0.60475,0.2592,0.83553,0,0.0001115,0.0001115,0.0001115
48,662.55,0.49345,0.71373,0.32476,0.85622,0,0.9946,1,0.995,0.9346,0.9946,1,0.995,0.90322,0.37388,0.6055,0.24185,0.82918,0,8.675e-05,8.675e-05,8.675e-05
49,672.505,0.48319,0.69524,0.30848,0.86318,0,0.99512,1,0.995,0.92692,0.99512,1,0.995,0.90362,0.37577,0.60421,0.24498,0.83,0,6.2e-05,6.2e-05,6.2e-05
50,682.16,0.45831,0.70026,0.28787,0.84694,0,0.9956,1,0.995,0.93814,0.9956,1,0.995,0.90295,0.36963,0.60052,0.24266,0.82839,0,3.725e-05,3.725e-05,3.725e-05
